name,uniscoreavg
Indian Institute of Science Education and Research Kolkata,27.5
"Indian Institute of Science Education and Research, Pune",30.26
Indian Institute of Technology (Indian School of Mines) Dhanbad,25.516666666666666
Indian Institute of Technology Bhubaneswar,28.169999999999998
Indian Institute of Technology Bombay,32.03
Indian Institute of Technology Delhi,28.729999999999997
Indian Institute of Technology Gandhinagar,34.2625
Indian Institute of Technology Guwahati,22.933333333333334
Indian Institute of Technology Hyderabad,31.566666666666666
Indian Institute of Technology Indore,41.38
Indian Institute of Technology Kanpur,26.97
Indian Institute of Technology Kharagpur,27.729999999999997
Indian Institute of Technology Madras,24.509999999999998
Indian Institute of Technology Mandi,25.9
Indian Institute of Technology Patna,26.0625
Indian Institute of Technology Roorkee,27.839999999999996
Indian Institute of Technology Ropar,43.974999999999994
Indiana University,50.38461538461539
Indraprastha Institute of Information Technology Delhi,34.93333333333334
Industrial University of Tyumen,14.350000000000001
Inha University,22.01875
Institut Agro,42.53333333333333
Institut Polytechnique de Paris,63.45
Institut Teknologi Sepuluh Nopember,17.240000000000002
Institute of Chemical Technology,34.2625
Instituto Politécnico Nacional (IPN),15.258333333333333
Instituto Politécnico de Bragança,27.049999999999997
Instituto Superior Técnico Lisboa,0.0
International Hellenic University,21.35
"International Institute of Information Technology, Hyderabad",37.8
"International Islamic University, Islamabad",32.25
Inönü University,14.350000000000001
Iowa State University,40.74230769230769
Iran University of Medical Sciences,33.660000000000004
Iran University of Science and Technology,28.9
Irkutsk National Research Technical University,21.35
Irkutsk State University,16.150000000000002
Isfahan University of Medical Sciences,27.349999999999998
Isfahan University of Technology,25.049999999999997
Islamic Azad University Karaj,13.4
"Islamic Azad University, Najafabad Branch (IAUN)",40.05
Islamic University of Indonesia,14.350000000000001
Istanbul Medeniyet University,30.7
Istanbul Medipol University,17.9625
Istanbul Technical University,29.422222222222224
Istanbul University,21.075
Istanbul University-Cerrahpaşa,28.299999999999997
Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,27.8625
Ivan Franko National University of Lviv,16.425
Ivane Javakhishvili Tbilisi State University,14.992857142857144
Ivanovo State University of Chemistry and Technology,15.4
Iwate University,15.87142857142857
Izmir Institute of Technology,17.25
JSS Academy of Higher Education and Research,43.449999999999996
Jadavpur University,24.4
Jagiellonian University,28.08125
James Cook University,43.1875
James Madison University,17.65
Jamia Hamdard University,29.650000000000002
Jamia Millia Islamia,30.258333333333336
Jan Evangelista Purkyně University,16.150000000000002
Jaume I University,30.26
Jawaharlal Nehru Technological University Anantapur (JNTUA),16.95
Jawaharlal Nehru University,34.1375
Jazan University,43.5
Jean Moulin University – Lyon 3,15.4
Jeju National University,18.483333333333334
Jeonbuk National University,20.775
Jianghan University,21.25
Jiangnan University,27.049999999999997
Jiangsu Normal University,30.4
Jiangsu University,24.75714285714286
Jiangxi University of Finance and Economics,27.049999999999997
Jilin University,20.508333333333333
Jimma University,40.65
Jinan University,26.335714285714285
Johannes Gutenberg University of Mainz,41.1125
Johannes Kepler University of Linz,30.4625
Johns Hopkins University,86.8153846153846
Jordan University of Science and Technology,33.93125
Joseph Fourier University,35.875
Jouf University,36.6
Juntendo University,24.125
Justus Liebig University Giessen,37.11875
Jönköping University,36.6
K.N. Toosi University of Technology,22.01875
KIIT University,22.91
KL University,24.75
KTH Royal Institute of Technology,51.973076923076924
KU Leuven,68.83076923076922
Kafrelsheikh University,34.96
Kagawa University,20.058333333333334
Kagoshima University,16.283333333333335
Kalasalingam Academy of Research and Education,33.075
Kanagawa University,15.258333333333333
Kanazawa Medical University,18.483333333333334
Kanazawa University,20.775
Kangwon National University,17.9625
Kansai Medical University,30.458333333333332
Kansai University,14.992857142857144
Kansas State University,26.525
Kaohsiung Medical University,22.01875
Karabük University,24.725
Karadeniz Technical University,15.4
Karlsruhe Institute of Technology,52.361538461538466
Karlstad University,28.55
Karolinska Institute,73.06153846153846
Kasetsart University,15.87142857142857
Kashan University of Medical Sciences and Health Services,37.8
Kaunas University of Technology,15.992857142857144
Kazan Federal University,28.575
Kazan National Research Technical University,18.483333333333334
Kazan National Research Technological University,17.240000000000002
Kazan State Medical University,21.35
Keele University,32.28125
Keio University,26.325
Kemerovo State University,14.350000000000001
Kent State University,29.8125
Kerman University of Medical Sciences,31.46666666666667
Kermanshah University of Medical Sciences,40.65
Khalifa University,44.64166666666667
"Khalifa University of Science, Technology and Research",30.05
Kharazmi University,17.240000000000002
Kharkiv National University of Radio Electronics,26.46666666666667
Khon Kaen University,14.7625
Khulna University of Engineering and Technology (KUET),21.35
Kindai University,24.0
King Abdulaziz University,46.41875
King Fahd University of Petroleum and Minerals,33.8
King Faisal University,24.75
King George’s Medical University,29.0
King Khalid University,32.8
King Mongkut's University of Technology North Bangkok,16.425
King Mongkut’s Institute of Technology Ladkrabang,15.87142857142857
King Mongkut’s University of Technology Thonburi,22.11875
King Saud University,33.975
King Saud bin Abdulaziz University for Health Sciences,33.2
Kingston University,24.125
King’s College London,72.03846153846153
Kirikkale University,14.350000000000001
Kitasato University,17.45
Kobe University,26.325
