year,ticker,company_name,num_committees,over75_pct,num_meetings
2023,SHW,Sherwin-Williams,4.0,1.0,9.0
2023,SPG,Simon Property Group,10.0,1.0,13.0
2023,SWKS,Skyworks Solutions,4.0,1.0,9.0
2023,SJM,J.M. Smucker Company (The),6.0,1.0,10.0
2023,SNA,Snap-on,9.0,1.0,10.0
2023,SO,Southern Company,13.0,1.0,16.0
2023,LUV,Southwest Airlines,8.0,1.0,14.0
2023,SWK,Stanley Black & Decker,7.0,1.0,10.0
2023,SBUX,Starbucks,6.0,1.0,8.0
2023,STT,State Street Corporation,10.0,1.0,12.0
2023,STLD,Steel Dynamics,3.0,1.0,10.0
2023,STE,Steris,12.0,1.0,10.0
2023,SYK,Stryker Corporation,6.0,1.0,10.0
2023,SYF,Synchrony Financial,5.0,1.0,10.0
2023,SNPS,Synopsys,8.0,1.0,9.0
2023,SYY,Sysco,12.0,0.0,11.0
2023,TMUS,T-Mobile US,7.0,1.0,13.0
2023,TROW,T. Rowe Price,6.0,1.0,11.0
2023,TTWO,Take-Two Interactive,6.0,1.0,10.0
2023,TPR,"Tapestry, Inc.",7.0,1.0,9.0
2023,TRGP,Targa Resources,6.0,1.0,11.0
2023,TGT,Target Corporation,17.0,1.0,12.0
2023,TEL,TE Connectivity,3.0,1.0,12.0
2023,TDY,Teledyne Technologies,4.0,1.0,11.0
2023,TFX,Teleflex,6.0,1.0,9.0
2023,TER,Teradyne,7.0,1.0,8.0
2023,TSLA,"Tesla, Inc.",5.0,1.0,8.0
2023,TXN,Texas Instruments,6.0,1.0,12.0
2023,TXT,Textron,4.0,1.0,9.0
2023,TMO,Thermo Fisher Scientific,9.0,1.0,11.0
2023,TJX,TJX Companies,9.0,1.0,9.0
2023,TSCO,Tractor Supply,7.0,1.0,8.0
2023,TT,Trane Technologies,12.0,0.0,11.0
2023,TDG,TransDigm Group,9.0,1.0,11.0
2023,TRV,Travelers Companies (The),8.0,1.0,14.0
2023,TRMB,Trimble Inc.,7.0,1.0,9.0
2023,TFC,Truist,17.0,1.0,21.0
2023,TYL,Tyler Technologies,4.0,1.0,8.0
2023,TSN,Tyson Foods,13.0,1.0,13.0
2023,USB,U.S. Bank,12.0,1.0,13.0
2023,UBER,Uber,3.0,,
2023,UDR,"UDR, Inc.",7.0,1.0,10.0
2023,ULTA,Ulta Beauty,3.0,1.0,11.0
2023,UNP,Union Pacific Corporation,7.0,1.0,10.0
2023,UAL,United Airlines Holdings,7.0,1.0,13.0
2023,UPS,United Parcel Service,7.0,1.0,12.0
2023,URI,United Rentals,11.0,1.0,11.0
