ticker,spindex,num_committees,dirs,over75_pct,num_meetings,avg_meetings
PTC,S&P 500,12.0,19.0,1.0,9.0,0.75
PCAR,S&P 500,5.0,25.0,1.0,12.0,2.4
PPBI,S&P 600,7.0,26.0,1.0,12.0,1.7142857142857142
PCRX,S&P 600,5.0,18.0,1.0,8.0,1.6
PKG,S&P 500,5.0,15.0,1.0,10.0,2.0
PACW,S&P 400,11.0,41.0,1.0,11.0,1.0
PANW,S&P 500,7.0,18.0,1.0,10.0,1.4285714285714286
PLMR,S&P 600,5.0,11.0,1.0,7.0,1.4
PZZA,S&P 600,7.0,25.0,1.0,7.0,1.0
PARR,S&P 600,5.0,14.0,1.0,11.0,2.2
PKE,,5.0,11.0,,,
PK,S&P 400,3.0,9.0,1.0,9.0,3.0
PRK,S&P 600,8.0,39.0,1.0,13.0,1.625
PH,S&P 500,7.0,25.0,1.0,13.0,1.8571428571428572
PATK,S&P 600,5.0,15.0,1.0,9.0,1.8
PDCO,S&P 400,10.0,21.0,1.0,9.0,0.9
PTEN,S&P 600,5.0,22.0,1.0,8.0,1.6
PAYX,S&P 500,8.0,18.0,1.0,12.0,1.5
PAYC,S&P 500,3.0,11.0,1.0,8.0,2.6666666666666665
PCTY,S&P 400,6.0,21.0,1.0,10.0,1.6666666666666667
PEB,S&P 600,3.0,8.0,1.0,7.0,2.3333333333333335
PENN,S&P 400,5.0,10.0,1.0,9.0,1.8
PNTG,,4.0,10.0,,,
PMT,S&P 600,15.0,28.0,1.0,10.0,0.6666666666666666
PAG,S&P 400,5.0,20.0,1.0,13.0,2.6
PEN,S&P 400,4.0,9.0,1.0,8.0,2.0
PEP,S&P 500,6.0,32.0,1.0,15.0,2.5
PRDO,S&P 600,7.0,19.0,1.0,9.0,1.2857142857142858
PRFT,S&P 600,6.0,15.0,1.0,8.0,1.3333333333333333
PFGC,S&P 400,8.0,21.0,1.0,11.0,1.375
RVTY,S&P 500,9.0,24.0,1.0,9.0,1.0
PR,S&P 400,5.0,17.0,1.0,10.0,2.0
PETS,,4.0,11.0,,,
PFE,S&P 500,8.0,39.0,1.0,12.0,1.5
PAHC,S&P 600,3.0,9.0,1.0,8.0,2.6666666666666665
PM,S&P 500,7.0,24.0,1.0,12.0,1.7142857142857142
PECO,S&P 600,3.0,8.0,1.0,7.0,2.3333333333333335
PSX,S&P 500,6.0,18.0,1.0,13.0,2.1666666666666665
PLAB,S&P 600,7.0,12.0,1.0,8.0,1.1428571428571428
DOC,S&P 400,15.0,48.0,1.0,9.0,0.6
PPC,S&P 400,6.0,17.0,1.0,9.0,1.5
PNFP,S&P 400,11.0,34.0,1.0,13.0,1.1818181818181819
PNW,S&P 500,7.0,26.0,1.0,11.0,1.5714285714285714
PXD,S&P 500,7.0,29.0,1.0,12.0,1.7142857142857142
PIPR,S&P 600,3.0,17.0,1.0,10.0,3.3333333333333335
PBI,S&P 600,8.0,34.0,1.0,13.0,1.625
PLNT,S&P 400,3.0,12.0,1.0,8.0,2.6666666666666665
PLXS,S&P 600,5.0,19.0,1.0,11.0,2.2
PII,S&P 400,8.0,29.0,1.0,10.0,1.25
POOL,S&P 500,6.0,13.0,1.0,9.0,1.5
POR,S&P 400,8.0,25.0,0.0,10.0,1.25
POST,S&P 400,4.0,15.0,1.0,10.0,2.5
PCH,S&P 400,5.0,27.0,1.0,10.0,2.0
POWL,S&P 600,5.0,17.0,1.0,8.0,1.6
POWI,S&P 400,5.0,15.0,1.0,7.0,1.4
PFBC,S&P 600,5.0,14.0,1.0,8.0,1.6
PINC,S&P 600,7.0,27.0,1.0,9.0,1.2857142857142858
PBH,S&P 600,8.0,26.0,1.0,7.0,0.875
TROW,S&P 500,6.0,32.0,1.0,11.0,1.8333333333333333
PSMT,S&P 600,12.0,22.0,1.0,10.0,0.8333333333333334
PRI,S&P 400,7.0,26.0,1.0,10.0,1.4285714285714286
