ticker,spindex
KRC,S&P 400
KMB,S&P 500
KIM,S&P 500
KMI,S&P 500
KNSL,S&P 400
KEX,S&P 400
KRG,S&P 400
KNX,S&P 400
KN,S&P 600
KSS,S&P 600
KTB,S&P 600
KOP,S&P 600
KFY,S&P 600
KHC,S&P 500
KR,S&P 500
KLIC,S&P 600
KD,S&P 400
LGIH,S&P 600
LKQ,S&P 500
LCII,S&P 600
LTC,S&P 600
LHX,S&P 500
LZB,S&P 600
LH,S&P 500
LKFN,S&P 600
LRCX,S&P 500
LAMR,S&P 400
LW,S&P 500
LANC,S&P 400
LSTR,S&P 400
LNTH,S&P 400
VTLE,S&P 600
LVS,S&P 500
LSCC,S&P 400
EL,S&P 500
LEA,S&P 400
LEG,S&P 400
LDOS,S&P 500
LMAT,S&P 600
TREE,S&P 600
LEN,S&P 500
LII,S&P 400
LESL,S&P 600
LXP,S&P 600
LBRT,S&P 600
LGND,S&P 600
LSI,S&P 400
LLY,S&P 500
LECO,S&P 400
LNC,S&P 600
LNN,S&P 600
LQDT,S&P 600
LAD,S&P 400
LFUS,S&P 400
LYV,S&P 500
LPSN,
,S&P 600
RAMP,S&P 600
LMT,S&P 500
L,S&P 500
LPX,S&P 400
LOW,S&P 500
LULU,S&P 500
LUMN,S&P 600
LITE,S&P 400
MTB,S&P 500
MDC,S&P 600
MDU,S&P 400
MTG,S&P 400
MGM,S&P 500
MGPI,S&P 600
MHO,S&P 600
MKSI,S&P 400
MP,S&P 400
MSA,S&P 400
MSM,S&P 400
MSCI,S&P 500
MYRG,S&P 600
MTSI,S&P 400
MAC,S&P 600
VRE,S&P 600
M,S&P 400
SHOO,S&P 600
MSGS,S&P 600
MANH,S&P 400
MAN,S&P 400
MRO,S&P 500
MPC,S&P 500
MMI,S&P 600
MCS,S&P 600
HZO,S&P 600
MKTX,S&P 500
VAC,S&P 400
MMC,S&P 500
MAR,S&P 500
MRTN,S&P 600
MLM,S&P 500
MAS,S&P 500
MASI,S&P 400
MTZ,S&P 400
MA,S&P 500
MBC,S&P 600
MTDR,S&P 400
MTCH,S&P 500
MTRN,S&P 600
MATX,S&P 600
MAT,S&P 400
MATW,S&P 600
MXL,S&P 600
MMS,S&P 400
MKC,S&P 500
MCD,S&P 500
MCK,S&P 500
MPW,S&P 400
MED,S&P 600
MD,S&P 600
MEDP,S&P 400
MERC,S&P 600
MRK,S&P 500
MRCY,S&P 600
MCY,S&P 600
MMSI,S&P 600
MTH,S&P 600
MLAB,S&P 600
CASH,S&P 600
MEI,S&P 600
MET,S&P 500
MTD,S&P 500
MSFT,S&P 500
MCHP,S&P 500
MU,S&P 500
MAA,S&P 500
MIDD,S&P 400
MSEX,S&P 600
MLKN,S&P 600
MTX,S&P 600
MCW,S&P 600
MRNA,S&P 500
MODV,S&P 600
MC,S&P 600
MHK,S&P 500
MOH,S&P 500
TAP,S&P 500
MCRI,S&P 600
MDLZ,S&P 500
MPWR,S&P 500
MNRO,S&P 600
MNST,S&P 500
MCO,S&P 500
MOG.A,S&P 600
MS,S&P 500
MORN,S&P 400
MOS,S&P 500
MPAA,
MSI,S&P 500
MOV,S&P 600
MLI,S&P 600
COOP,S&P 600
MUR,S&P 400
MUSA,S&P 400
MYE,S&P 600
MYGN,S&P 600
NBTB,S&P 600
NABL,S&P 600
VYX,S&P 400
NMIH,S&P 600
NRG,S&P 500
NVR,S&P 500
NVEE,S&P 600
NOV,S&P 400
NDAQ,S&P 500
NBHC,S&P 600
FIZZ,S&P 600
NHC,S&P 600
NFG,S&P 400
NATI,S&P 400
NPK,S&P 600
NNN,S&P 400
NSA,S&P 400
EYE,S&P 600
DNOW,S&P 600
NAVI,S&P 600
NKTR,
NEOG,S&P 400
NEO,S&P 600
NTAP,S&P 500
NFLX,S&P 500
NTGR,S&P 600
NTCT,S&P 600
NBIX,S&P 400
NJR,S&P 400
NYCB,S&P 400
NYMT,S&P 600
NYT,S&P 400
NWL,S&P 600
NEU,S&P 400
NEM,S&P 500
NWSA,S&P 500
NEX,S&P 600
NXST,S&P 400
NEE,S&P 500
NXRT,S&P 600
,S&P 600
NKE,S&P 500
NI,S&P 500
NDSN,S&P 500
JWN,S&P 400
NSC,S&P 500
NOG,S&P 600
NTRS,S&P 500
OUT,S&P 600
NFBK,S&P 600
NOC,S&P 500
NWBI,S&P 600
NWN,S&P 600
NWE,S&P 400
GEN,S&P 500
NOVT,S&P 400
NUS,S&P 600
NUE,S&P 500
NVDA,S&P 500
,S&P 600
OGE,S&P 400
OI,S&P 600
ORLY,S&P 500
OFG,S&P 600
OSIS,S&P 600
CHRD,S&P 400
OXY,S&P 500
OII,S&P 600
PYPL,S&P 500
OPI,S&P 600
OIS,S&P 600
ODFL,S&P 500
ONB,S&P 400
ORI,S&P 400
OGS,S&P 400
OLN,S&P 400
OLLI,S&P 400
ZEUS,S&P 600
OMC,S&P 500
PAYO,S&P 600
OHI,S&P 400
OMCL,S&P 600
ON,S&P 500
OKE,S&P 500
OSPN,S&P 600
ONTO,S&P 400
ORCL,S&P 500
OPRX,
OPCH,S&P 400
OSUR,S&P 600
ORGO,
OGN,S&P 600
ONL,S&P 600
ORA,S&P 400
OFIX,S&P 600
OSK,S&P 400
OTIS,S&P 500
OTTR,S&P 600
OVV,S&P 400
OMI,S&P 600
OC,S&P 400
OXM,S&P 600
PBF,S&P 400
CNXN,S&P 600
,S&P 400
PDFS,S&P 600
PCG,S&P 500
PGTI,S&P 600
PJT,S&P 600
PNC,S&P 500
PNM,S&P 400
PPG,S&P 500
PPL,S&P 500
PRAA,S&P 600
PVH,S&P 400
PTC,S&P 500
PCAR,S&P 500
PPBI,S&P 600
PCRX,S&P 600
PKG,S&P 500
PACW,S&P 400
PANW,S&P 500
PLMR,S&P 600
PZZA,S&P 600
PARR,S&P 600
PKE,
PK,S&P 400
PRK,S&P 600
PH,S&P 500
PATK,S&P 600
PDCO,S&P 400
PTEN,S&P 600
PAYX,S&P 500
PAYC,S&P 500
PCTY,S&P 400
PEB,S&P 600
PENN,S&P 400
PNTG,
PMT,S&P 600
PAG,S&P 400
PEN,S&P 400
PEP,S&P 500
PRDO,S&P 600
PRFT,S&P 600
PFGC,S&P 400
RVTY,S&P 500
PR,S&P 400
PETS,
PFE,S&P 500
PAHC,S&P 600
PM,S&P 500
PECO,S&P 600
PSX,S&P 500
PLAB,S&P 600
DOC,S&P 400
PPC,S&P 400
PNFP,S&P 400
PNW,S&P 500
PXD,S&P 500
PIPR,S&P 600
PBI,S&P 600
PLNT,S&P 400
PLXS,S&P 600
PII,S&P 400
POOL,S&P 500
POR,S&P 400
POST,S&P 400
PCH,S&P 400
POWL,S&P 600
POWI,S&P 400
PFBC,S&P 600
PINC,S&P 600
PBH,S&P 600
TROW,S&P 500
PSMT,S&P 600
