ticker,company_name,num_committees,dirs,over75_pct,num_meetings,avg_meetings
IVZ,Invesco,7.0,30.0,1.0,12.0,1.7142857142857142
INVH,Invitation Homes,4.0,20.0,1.0,10.0,2.5
IQV,IQVIA,5.0,20.0,1.0,10.0,2.0
IRM,Iron Mountain,11.0,24.0,1.0,10.0,0.9090909090909091
JBHT,J.B. Hunt,6.0,21.0,1.0,9.0,1.5
JBL,Jabil,5.0,14.0,1.0,8.0,1.6
JKHY,Jack Henry & Associates,6.0,16.0,1.0,9.0,1.5
J,Jacobs Solutions,5.0,30.0,1.0,11.0,2.2
JNJ,Johnson & Johnson,11.0,34.0,1.0,12.0,1.0909090909090908
JCI,Johnson Controls,12.0,41.0,1.0,11.0,0.9166666666666666
JPM,JPMorgan Chase,8.0,35.0,0.0,12.0,1.5
JNPR,Juniper Networks,4.0,23.0,1.0,10.0,2.5
K,Kellanova,23.0,58.0,1.0,11.0,0.4782608695652174
KVUE,Kenvue,,,,,
KDP,Keurig Dr Pepper,7.0,24.0,1.0,11.0,1.5714285714285714
KEY,KeyCorp,15.0,59.0,1.0,13.0,0.8666666666666667
KEYS,Keysight,8.0,21.0,1.0,11.0,1.375
KMB,Kimberly-Clark,8.0,33.0,1.0,12.0,1.5
KIM,Kimco Realty,5.0,14.0,1.0,8.0,1.6
KMI,Kinder Morgan,5.0,23.0,1.0,14.0,2.8
KLAC,KLA Corporation,5.0,24.0,1.0,10.0,2.0
KHC,Kraft Heinz,5.0,21.0,1.0,12.0,2.4
KR,Kroger,9.0,32.0,1.0,11.0,1.2222222222222223
LHX,L3Harris,14.0,34.0,1.0,12.0,0.8571428571428571
LH,LabCorp,8.0,21.0,1.0,11.0,1.375
LRCX,Lam Research,5.0,24.0,1.0,11.0,2.2
LW,Lamb Weston,5.0,11.0,1.0,11.0,2.2
LVS,Las Vegas Sands,7.0,21.0,1.0,8.0,1.1428571428571428
LDOS,Leidos,12.0,27.0,1.0,12.0,1.0
LEN,Lennar,9.0,20.0,1.0,10.0,1.1111111111111112
LIN,Linde plc,10.0,33.0,1.0,10.0,1.0
LYV,Live Nation Entertainment,4.0,25.0,1.0,11.0,2.75
LKQ,LKQ Corporation,7.0,20.0,1.0,9.0,1.2857142857142858
LMT,Lockheed Martin,12.0,39.0,1.0,13.0,1.0833333333333333
L,Loews Corporation,12.0,60.0,1.0,11.0,0.9166666666666666
LOW,Lowe's,9.0,38.0,1.0,12.0,1.3333333333333333
LULU,Lululemon Athletica,6.0,21.0,1.0,10.0,1.6666666666666667
LYB,LyondellBasell,8.0,20.0,1.0,11.0,1.375
MTB,M&T Bank,10.0,34.0,1.0,17.0,1.7
MRO,Marathon Oil,9.0,30.0,1.0,8.0,0.8888888888888888
MPC,Marathon Petroleum,9.0,29.0,1.0,12.0,1.3333333333333333
MKTX,MarketAxess,8.0,23.0,1.0,11.0,1.375
MAR,Marriott International,10.0,30.0,1.0,13.0,1.3
MMC,Marsh McLennan,14.0,44.0,1.0,14.0,1.0
MLM,Martin Marietta Materials,8.0,27.0,1.0,10.0,1.25
MAS,Masco,6.0,24.0,1.0,9.0,1.5
MA,Mastercard,4.0,25.0,1.0,12.0,3.0
MTCH,Match Group,7.0,24.0,1.0,10.0,1.4285714285714286
MKC,McCormick & Company,5.0,22.0,1.0,11.0,2.2
MCD,McDonald's,10.0,36.0,1.0,13.0,1.3
MCK,McKesson,9.0,31.0,1.0,11.0,1.2222222222222223
MDT,Medtronic,12.0,31.0,1.0,11.0,0.9166666666666666
MRK,Merck & Co.,19.0,46.0,1.0,13.0,0.6842105263157895
META,Meta Platforms,7.0,22.0,1.0,9.0,1.2857142857142858
MET,MetLife,12.0,40.0,1.0,14.0,1.1666666666666667
